"Age" "Poles" "Wins" "Podiums" "FastestLaps" "Points"
"1" 23 8.5 5 10 2 177
"2" 24 10.5 9 16 2.5 262.5
"3" 25 5.25 6.25 10.5 4.75 142
"4" 26 8 8.5 10.75 5 161.125
"5" 27 4.5 5 8 3 54.5
"6" 28 5.25 5.5 9.5 3.25 79.25
"7" 29 4.85714285714286 5.14285714285714 8.42857142857143 3.28571428571429 106.428571428571
"8" 30 6 6.16666666666667 10.5 4.66666666666667 122.5
"9" 31 5.42857142857143 5.57142857142857 11 3.42857142857143 121
"10" 32 9.33333333333333 8 11.3333333333333 4.33333333333333 182.666666666667
"11" 33 5 7 11.25 3.5 156.25
"12" 34 3.55555555555556 5 8.55555555555556 3.66666666666667 97.4444444444444
"13" 35 4.5 6.5 10 5.75 81.875
"14" 36 9 8 10 5 97
"15" 38 10.5 6.5 9.5 4.5 81.5
"16" 39 8 6 9 4 78
"17" 40 3.5 3.5 5 3 36.5
"18" 43 5 6 7 3 42
"19" 44 2.5 3.5 4 3 35
"20" 45 6 3 5 4 30
"21" 46 4 4 6 2 40
