"Driver" "Constructor" "Season" "Age" "Engine" "Poles" "Wins" "Podiums" "FastestLaps" "Points" "ConstructorNat" "DriverNat"
"1" "AlainProst" "McLaren" "1986" "31" "TAG" "1" "4" "11" "2" "72" "UnitedKingdom" "France"
"2" "AlainProst" "McLaren" "1985" "30" "TAG" "2" "5" "11" "5" "73" "UnitedKingdom" "France"
"3" "AlainProst" "Williams" "1993" "38" "Renault" "13" "7" "12" "6" "99" "UnitedKingdom" "France"
"4" "AlainProst" "McLaren" "1989" "34" "Honda" "2" "4" "11" "5" "76" "UnitedKingdom" "France"
"5" "AlanJones" "Williams" "1980" "34" "Ford" "3" "5" "10" "5" "67" "UnitedKingdom" "Australia"
"6" "AlbertoAscari" "Ferrari" "1953" "35" "Ferrari" "6" "5" "5" "4" "34.5" "Italy" "Italy"
"7" "AlbertoAscari" "Ferrari" "1952" "34" "Ferrari" "5" "6" "6" "6" "36" "Italy" "Italy"
"8" "AyrtonSenna" "McLaren" "1991" "31" "Honda" "8" "7" "12" "2" "96" "UnitedKingdom" "Brazil"
"9" "AyrtonSenna" "McLaren" "1990" "30" "Honda" "10" "6" "11" "2" "78" "UnitedKingdom" "Brazil"
"10" "AyrtonSenna" "McLaren" "1988" "28" "Honda" "13" "8" "11" "3" "90" "UnitedKingdom" "Brazil"
"11" "DamonHill" "Williams" "1996" "36" "Renault" "9" "8" "10" "5" "97" "UnitedKingdom" "United Kingdom"
"12" "DennyHulme" "Brabham" "1967" "31" "Repco" "0" "2" "8" "2" "51" "UnitedKingdom" "New Zealand"
"13" "EmersonFittipaldi" "Lotus" "1972" "25" "Ford" "3" "5" "8" "0" "61" "UnitedKingdom" "Brazil"
"14" "EmersonFittipaldi" "McLaren" "1974" "27" "Ford" "2" "3" "7" "0" "55" "UnitedKingdom" "Brazil"
"15" "FernandoAlonso" "Renault" "2006" "25" "Renault" "6" "7" "14" "5" "134" "France" "Spain"
"16" "FernandoAlonso" "Renault" "2005" "24" "Renault" "6" "7" "15" "2" "133" "France" "Spain"
"17" "GiuseppeFarina" "Alfa Romeo" "1950" "44" "Alfa Romeo" "2" "3" "3" "3" "30" "Italy" "Italy"
"18" "GrahamHill" "Lotus" "1968" "39" "Ford" "2" "3" "6" "0" "48" "UnitedKingdom" "United Kingdom"
"19" "GrahamHill" "BRM" "1962" "33" "BRM" "1" "4" "6" "3" "42" "UnitedKingdom" "United Kingdom"
"20" "JackBrabham" "Cooper" "1960" "34" "Climax" "3" "5" "5" "3" "43" "UnitedKingdom" "Australia"
"21" "JackBrabham" "Cooper" "1959" "33" "Climax" "1" "2" "5" "1" "31" "UnitedKingdom" "Australia"
"22" "JackBrabham" "Brabham" "1966" "40" "Repco" "3" "4" "5" "1" "42" "UnitedKingdom" "Australia"
"23" "JackieStewart" "Tyrrell" "1973" "34" "Ford" "3" "5" "8" "1" "71" "UnitedKingdom" "United Kingdom"
"24" "JackieStewart" "Tyrrell" "1971" "32" "Ford" "6" "6" "7" "3" "62" "UnitedKingdom" "United Kingdom"
"25" "JackieStewart" "Matra" "1969" "30" "Ford" "2" "6" "7" "5" "63" "France" "United Kingdom"
"26" "JacquesVilleneuve" "Williams" "1997" "26" "Renault" "10" "7" "8" "3" "81" "UnitedKingdom" "Canada"
"27" "JamesHunt" "McLaren" "1976" "29" "Ford" "8" "6" "8" "2" "69" "UnitedKingdom" "United Kingdom"
"28" "JensonButton" "Brawn" "2009" "29" "Mercedes" "4" "6" "9" "2" "95" "UnitedKingdom" "United Kingdom"
"29" "JimClark" "Lotus" "1963" "27" "Climax" "7" "7" "9" "6" "54" "UnitedKingdom" "United Kingdom"
"30" "JimClark" "Lotus" "1965" "29" "Climax" "6" "6" "6" "6" "54" "UnitedKingdom" "United Kingdom"
"31" "JochenRindt" "Lotus" "1970" "28" "Ford" "3" "5" "5" "1" "45" "UnitedKingdom" "Austria"
"32" "JodyScheckter" "Ferrari" "1979" "29" "Ferrari" "1" "3" "6" "0" "51" "Italy" "South Africa"
"33" "JohnSurtees" "Ferrari" "1964" "30" "Ferrari" "2" "2" "6" "2" "40" "Italy" "United Kingdom"
"34" "JuanManuelFangio" "Alfa Romeo" "1951" "40" "Alfa Romeo" "4" "3" "5" "5" "31" "Italy" "Argentina"
"35" "JuanManuelFangio" "Mercedes" "1954" "43" "Mercedes" "5" "6" "7" "3" "42" "Germany" "Argentina"
"36" "JuanManuelFangio" "Maserati" "1957" "46" "Maserati" "4" "4" "6" "2" "40" "Italy" "Argentina"
"37" "JuanManuelFangio" "Ferrari" "1956" "45" "Ferrari" "6" "3" "5" "4" "30" "Italy" "Argentina"
"38" "JuanManuelFangio" "Mercedes" "1955" "44" "Mercedes" "3" "4" "5" "3" "40" "Germany" "Argentina"
"39" "JuanManuelFangio" "Maserati" "1954" "43" "Maserati" "5" "6" "7" "3" "42" "Italy" "Argentina"
"40" "KekeRosberg" "Williams" "1982" "34" "Ford" "1" "1" "6" "0" "44" "UnitedKingdom" "Finland"
